url,title,summary
https://sorae.info/astronomy/20240227-jumbo24.html,「JuMBO 24」が連星の自由浮遊惑星であると確認　なぜ存在するのかは謎,どの恒星の周りも公転していない「自由浮遊惑星」はどのように生成されるのでしょうか？従来の理論では惑星系内の破滅的なダイナミクスの結果であると考えられていますが、その場合には自由浮遊惑星は単独で存在することになります。メキシコ国立自治大学のLuis F. Rodríguez氏、Laurent Loinard氏、そしてLuis A. Zapata氏の研究チームは、「ジェイムズ・ウェッブ宇宙望遠鏡」の観測で2023年に発見されたばかりの連星関係にある自由浮遊惑星の候補、全42組を「VLA (カール・ジャンスキー超大型干渉電波望遠鏡群)」で観測しました。その結果、唯一「JuMBO 24」の観測に成功し、連星関係の自由浮遊惑星であるという追加の証拠が得られました。このような連星関係の自由浮遊惑星の生成は従来の形成論ではうまく説明できないため、興味深い観測対象として注目されています。
https://sorae.info/astronomy/20230724-pds-70-b.html,公転軌道を共有する「トロヤ惑星」その存在を示す有力な証拠を発見か,スペイン宇宙生物学センター（CAB）の学生Olga Balsalobre-Ruzaさんを筆頭とする研究チームは、太陽系外惑星「PDS 70 b」と公転軌道を共有する別の系外惑星が存在する可能性を示した研究成果を発表しました。この結果は、同じ軌道を公転する“兄弟”のような2つの惑星が実在することを示す有力な証拠となるかもしれません。PDS 70 bは「ケンタウルス座」の方向約370光年先の若い星「PDS 70」を公転しています。PDS 70は誕生から540万年程度しか経っていないと考えられていて、その周囲は広い空洞が生じた原始惑星系円盤に取り囲まれています。空洞ではPDS 70 bとその外側を公転する「PDS 70 c」という2つの系外惑星が見つかっており、形成過程にある惑星系の一例として研究対象になっています。
https://sorae.info/astronomy/20230328-free-floating-planet.html,自由浮遊惑星の衛星にも生命？　16億年間に渡って穏やかな環境が存在する可能性も,もしも自由浮遊惑星の衛星に大気があれば、潮汐力によって生じた熱が長期間保持されることで、結果的に衛星の表面に液体の水が存在するのに十分な気温が維持される可能性があると考えることができます。2021年には、条件さえ整えば衛星表面に液体の水が保持される可能性を示した研究成果が発表されています。
https://sorae.info/space/20231122-north-korea.html,北朝鮮が偵察衛星の打ち上げに成功したと発表　予告期間の1時間余り前に実施,発表によると、チョンリマ1型ロケットは日本時間2023年11月21日22時42分に北朝鮮の西海（ソヘ）衛星発射場から発射されました。飛行は正常で、同日22時54分にマンリギョン1号の軌道投入に成功したということです。朝鮮中央通信は打ち上げの準備中や打ち上げ時のチョンリマ1型とみられる画像とともに、打ち上げに立ち会ったとされる金正恩総書記の画像を掲載しています。
https://sorae.info/space/20240213-adras-j.html,アストロスケールの商業デブリ除去実証衛星「ADRAS-J」は2月18日に打ち上げ予定,株式会社アストロスケールは2024年2月8日、同社が開発した商業デブリ除去実証衛星「ADRAS-J（アドラスジェイ）」の打ち上げが日本時間2024年2月18日に予定されていると発表しました。ADRAS-Jはニュージーランドのマヒア半島からロケットラボの「エレクトロン」ロケットに搭載されて打ち上げられます。
https://sorae.info/astronomy/20231216-ic-348.html,褐色矮星か浮遊惑星か？ ウェッブ宇宙望遠鏡が散開星団で見つけた3つの天体,研究チームはこれらの天体が浮遊惑星である可能性は低く、恒星と同じように分子雲の崩壊で形成された褐色矮星の可能性が高いと考えています。巨大な浮遊惑星は小さな浮遊惑星と比べてまれな存在であること、恒星の多くを占める小質量星の周囲で巨大な惑星が形成される可能性は低いこと、若いIC 348では惑星系から巨大な惑星が放り出されるほどの時間がまだ経っていないと考えられることがその理由です。
https://sorae.info/astronomy/20231009-kbp.html,太陽系外縁部にあるかもしれない未知の惑星をシミュレーションで検証　質量は地球の1.5～3倍か,近畿大学総合社会学部准教授のPatryk Sofia Lykawka（パトリック・ソフィア・リカフィカ）さんと国立天文台天文シミュレーションプロジェクト講師の伊藤孝士さんからなる研究チームは、海王星よりも遠くに存在する太陽系の天体の特性をシミュレーションで検証した結果、まだ見つかっていない惑星が太陽系に存在する可能性を示すことができたとする研究成果を発表しました。
https://sorae.info/astronomy/20240520-k2-18b.html,太陽系外惑星「K2-18b」の “生命の観測的証拠” は（今のところ）幻かもしれない,太陽以外の恒星の周りを公転する「太陽系外惑星」の中には、地球のように適度な温度と豊富な液体の水を持つかもしれない惑星がいくつか見つかっています。その1つである「K2-18b」について2023年9月に発表されたある研究では、「ジェイムズ・ウェッブ宇宙望遠鏡」による大気組成の観測の結果、豊富なメタンと二酸化炭素に加えて、生命活動と関連があるバイオマーカーとして注目されている「ジメチルスルフィド」が見つかったと主張されていました。しかし、カリフォルニア大学リバーサイド校のShang-Min Tsai氏などの研究チームは、この主張に否定的な研究結果を発表しました。K2-18bのような大気をコンピューターでモデル化し、熱や光によって生じる化学反応を再現したところ、この観測データをもとにジメチルスルフィドを検出できたという先の研究結果は怪しいことが示されたというのです。ただし今後、ウェッブ宇宙望遠鏡によるK2-18bの追加観測が予定されているため、今後の観測でジメチルスルフィドが検出される可能性は残されています。
https://sorae.info/space/20240715-zero-debris-satellite.html,宇宙ゴミを出さない人工衛星を作る時が来た　ESAが民間3社と衛星バス開発で契約締結,欧州宇宙機関（ESA）は2024年6月25日に、エアバス・ディフェンス・アンド・スペース、OHB、タレス・アレーニア・スペースといった欧州を拠点とする宇宙開発企業3社との間で、ゼロデブリ憲章（Zero Debris Charter）に準拠する地球低軌道（LEO）用衛星バス（satellite bus）の開発に関する契約を締結しました。
https://sorae.info/science/20240704-alcubierre-drive.html,ワープ航法は重力波を出す？　「アルクビエレ・ドライブ」の解析で判明,ワープ航法は重力波を出す？　「アルクビエレ・ドライブ」の解析で判明
https://sorae.info/column/20241225-ksd.html,和製宇宙飛行シム「Keplerian Space Discovery」を編集部が遊んでみた,2024年12月12日、宇宙を舞台にしたシミュレーションゲーム「Keplerian Space Discovery（KSD）」のデモ版がSteamで公開されました。宇宙開発系のシミュレーションゲームといえば「Kerbal Space Program（KSP）」などの海外ゲームが有名ですが、本作は国内デベロッパーのKugelblitzが開発。どのような内容のゲームなのか、編集部でもデモ版をプレイしてみました。
https://uchubiz.com/article/new36143/,能登半島地震、被災地の衛星画像を無償提供–アクセルスペースが発表,日本の宇宙ベンチャー「アクセルスペース」は1月2日、令和6年能登半島地震で被災した地域の衛星画像を政府機関、自治体、報道機関向けに無償提供すると発表した。
https://uchubiz.com/article/int36565/,生活圏を宇宙に広げる第一歩に–ブルーオーシャンの「月面探査」に挑むispace袴田CEOインタビュー,ispaceは、2023年4月に民間月面探査プログラム「HAKUTO-R」のミッション1を完了。本来の最終目的であった月着陸船（ランダー）の月面着陸こそ果たせなかったが、その過程で様々な“民間初”を実現しつつ、一定の成果を挙げた。
https://uchubiz.com/article/fea48705/,日本の宇宙ビジネスが「デジタル敗戦」の二の轍を踏まないために–勝ち筋を考察,激化する宇宙領域の国際競争において、日本はイニシアティブを獲ろうと産学官連携で様々な取り組みが活発化し始めているが、果たして日本に勝ち筋はあるのだろうか。　本稿では、政策面、大学・研究機関の取り組み、スタートアップエコシステム、大手企業の宇宙ビジネスへの参画など産学官の現状に幅広く触れながら、考察していく。
https://uchubiz.com/article/fea44644/,10年ごとの「商売替え」も可能？–ロケットの父・糸川英夫から学んだ「ポータブルスキル」,日本の「ロケットの父」として知られる糸川英夫氏は、宇宙開発以外にも、脳波測定器やバイオリン製作など生涯にわたり多分野で活躍をしたイノベーターだった。この連載では、糸川氏が主宰した「組織工学研究会」において、10年以上にわたり同氏を間近で見てきた筆者が、イノベーションを生み出すための手法や組織づくりについて解説する。
https://uchubiz.com/article/new58670/,米着陸船「ブルーゴースト」、月着陸に成功–民間企業による月着陸成功は2例目,米Firefly Aerospaceの月着陸船（ランダー）「Blue Ghost」は米国時間3月2日、月着陸に成功した。民間企業による月着陸は2例目。米中部時間3月2日午前2時34分に着陸に成功したことが確認された。
https://uchubiz.com/article/new46888/,「宇宙の倉庫」から地球上どこでも1時間以内に物資を配達する構想–米Inversion Space,宇宙関連スタートアップのInversion Spaceは、軌道上に軍事物資を保管し、オンデマンドで地球上のどこにでも1時間以内に届けるための、再利用可能なカプセルを開発している。米メディアのSpaceNewsが報じた。
https://uchubiz.com/article/new44315/,100機以上の超小型衛星コンステレーションで衝突回避などに「宇宙交通管理」を活用,欧州企業Neuraspaceは現地時間4月8日、衛星管理分析や衝突回避操縦などの有料サービスを米Spire Globalの小型衛星の大部分が利用すると発表した。　Spire Globalが地球低軌道（LEO）で運用している100機以上の小型衛星が、Neuraspaceの「宇宙交通管理（Space Traffice Management：STM）」サービスを利用することになる。それ以外のSpire Globalの衛星は、Neuraspaceの無料サービスを利用する。
https://uchubiz.com/article/new51563/,北極域にブロードバンドを提供する衛星が打ち上げ–スペースX初の「モルニヤ軌道」,米Space Exploration Technologies（SpaceX）は米国時間8月11日、Space Norwayの北極衛星ブロードバンドミッション「Arctic Satellite Broadband Mission（ASBM）」を打ち上げた。海外メディアのSpaceNewsが報じている。
https://uchubiz.com/article/new36620/,【能登地震】情報収集衛星が撮影した被災地–性能を隠すために加工も「鮮明」との声,政府の内閣情報調査室は1月11日、情報収集衛星で撮影した「令和6年能登半島地震」の被災地の画像を公開した。
https://uchubiz.com/article/new43709/,米当局、「宇宙交通調整」システム開発などで民間企業と24億円で契約,米宇宙商務局（Office of Space Commerce：OSC）は現地時間3月18日、米Parsonsに対して「宇宙交通調整システム（Traffic Coordination System for Space：TraCSS）」のシステム開発とクラウド管理サービスに関して、1550万ドル（約24億円）の契約を結んだと発表した。OSCは、米商務省（DoC）傘下の米大気海洋庁（NOAA）内の組織。海外メディアのSpaceNewsが報じた。
https://uchubiz.com/article/new12134/,中国、チベット高原に「アジア最大の天体望遠鏡」を建設へ,中国の北京大学が中心となり、アジアで最大の天体望遠鏡「Expanding Aperture Segmented Telescope（EAST）」を建設する計画が発表された。
https://uchubiz.com/article/ext286/,アマゾンの衛星ブロードバンド計画「Project Kuiper」、衛星2基を2022年に打ち上げへ,Amazonの低軌道衛星を使った衛星ブロードバンド計画「Project Kuiper」は、世界各地でインターネットを利用できない地域などで、安価で低遅延の高速インターネットアクセスを提供することを目的としている。過疎地などでインターネット接続を提供する切り札のようにとらえられることの多い衛星インターネットは、Amazonなどの計画によって、待望の変革を実現しようとしている。
https://sorabatake.jp/36580/,SAR画像を解析する際に理解しておきたい基礎処理【SARデータ解析者への道】,SAR(合成開口レーダー)のデータを解析したい！と思った方が、できる限り壁を感じずに解析できるようになる道しるべとなることを目指して更新する宙畑の連載「SARデータ解析者への道」の1本目では、SARの奇跡とも呼べるSARの原理について紹介しました。2本目となる本記事では、SAR画像を解析する際に理解しておきたい基本処理を紹介します。
https://sorabatake.jp/30649/,地球観測衛星データの世界のトップランナー！Planetに聞く、次世代衛星データ構想と日本のポテンシャル【前編】,2010年設立以来、地球観測衛星データ市場のトップランナーとして走り続けているPlanet Labs社（以下、Planet社）。先日も次世代衛星群”Pelican”やハイパースペクトル衛星”Tanager”の計画を発表し、大きなニュースとなりました。また、近年では日本にカントリーマネージャーを設置するなど、アジアや日本への展開も注力している印象です。本記事は前編として、ビジネス状況や次世代衛星データ構想、日本のポテンシャルについて、日本カントリーマネージャーのSteveさんにお伺いしていきます。
https://sorabatake.jp/37116/,【宇宙政策を学ぶ】政策の効果はどのように計測・評価する？ 欧米の宇宙政策と成果の計測方法,本記事では、宇宙政策の重要性や最新トピック、政策策定時に必要な視点について紹介します。ここ数年で、日本で宇宙開発技術の利活用に関する社会的認識が急速に高まり、官民一体となって更に国内の宇宙産業拡大を目指す中、宇宙政策の本質について知ることや考えることは、長期的なビジョンを実現する上で非常に大きな意義があります。
